Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Mobile,,,2018-09-07 09:56:51,2018-09-07 10:02:43,"5m - 52,322s",PASSED
,,,,,,
Test Cases/Android/TC/TC_LoginApp,,,2018-09-07 09:56:51,2018-09-07 09:58:00,"1m - 9,047s",PASSED
callTestCase,,,2018-09-07 09:56:52,2018-09-07 09:57:39,"47,155s",PASSED
callTestCase,,,2018-09-07 09:57:39,2018-09-07 09:57:56,"17,538s",PASSED
callTestCase,,,2018-09-07 09:57:56,2018-09-07 09:58:00,"4,100s",PASSED
,,,,,,
Test Cases/Android/TC/TC_Configuration,,,2018-09-07 09:58:00,2018-09-07 09:59:07,"1m - 6,384s",PASSED
callTestCase,,,2018-09-07 09:58:00,2018-09-07 09:58:51,"50,299s",PASSED
callTestCase,,,2018-09-07 09:58:51,2018-09-07 09:59:01,"10,467s",PASSED
callTestCase,,,2018-09-07 09:59:01,2018-09-07 09:59:03,"2,061s",PASSED
callTestCase,,,2018-09-07 09:59:03,2018-09-07 09:59:07,"3,469s",PASSED
,,,,,,
Test Cases/Android/TC/TC_Historico,,,2018-09-07 09:59:07,2018-09-07 10:00:21,"1m - 14,138s",PASSED
callTestCase,,,2018-09-07 09:59:07,2018-09-07 10:00:06,"58,758s",PASSED
callTestCase,,,2018-09-07 10:00:06,2018-09-07 10:00:17,"10,955s",PASSED
callTestCase,,,2018-09-07 10:00:17,2018-09-07 10:00:18,"1,499s",PASSED
callTestCase,,,2018-09-07 10:00:18,2018-09-07 10:00:21,"2,821s",PASSED
,,,,,,
Test Cases/Android/TC/TC_Users,,,2018-09-07 10:00:21,2018-09-07 10:01:31,"1m - 10,393s",PASSED
callTestCase,,,2018-09-07 10:00:21,2018-09-07 10:01:17,"55,827s",PASSED
callTestCase,,,2018-09-07 10:01:17,2018-09-07 10:01:27,"10,647s",PASSED
callTestCase,,,2018-09-07 10:01:27,2018-09-07 10:01:28,"0,085s",PASSED
callTestCase,,,2018-09-07 10:01:28,2018-09-07 10:01:31,"3,756s",PASSED
,,,,,,
Test Cases/Android/TC/TC_VUE,,,2018-09-07 10:01:31,2018-09-07 10:02:43,"1m - 12,001s",PASSED
callTestCase,,,2018-09-07 10:01:31,2018-09-07 10:02:27,"56,071s",PASSED
callTestCase,,,2018-09-07 10:02:27,2018-09-07 10:02:38,"10,438s",PASSED
callTestCase,,,2018-09-07 10:02:38,2018-09-07 10:02:39,"1,424s",PASSED
callTestCase,,,2018-09-07 10:02:39,2018-09-07 10:02:43,"3,926s",PASSED
