Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Web,Firefox 61.0,,2018-09-07 11:51:10,2018-09-07 11:52:23,"1m - 12,966s",FAILED
,,,,,,
Test Cases/Web/BO FUSE/TC/TC_Login,Firefox 61.0,,2018-09-07 11:51:11,2018-09-07 11:51:19,"8,391s",PASSED
Start listener action : sampleBeforeTestCase,Firefox 61.0,,2018-09-07 11:51:11,2018-09-07 11:51:11,"0,009s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 11:51:11,2018-09-07 11:51:18,"6,747s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 11:51:18,2018-09-07 11:51:19,"1,081s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 11:51:19,2018-09-07 11:51:19,"0,415s",PASSED
Start listener action : sampleAfterTestCase,Firefox 61.0,,2018-09-07 11:51:19,2018-09-07 11:51:19,"0,006s",PASSED
,,,,,,
Test Cases/Web/FUSE/TC/TC_LoginFUSE,Firefox 61.0,,2018-09-07 11:51:19,2018-09-07 11:51:26,"7,106s",PASSED
Start listener action : sampleBeforeTestCase,Firefox 61.0,,2018-09-07 11:51:19,2018-09-07 11:51:19,"0,003s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 11:51:19,2018-09-07 11:51:25,"5,742s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 11:51:25,2018-09-07 11:51:26,"0,851s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 11:51:26,2018-09-07 11:51:26,"0,406s",PASSED
Start listener action : sampleAfterTestCase,Firefox 61.0,,2018-09-07 11:51:26,2018-09-07 11:51:26,"0,004s",PASSED
,,,,,,
Test Cases/Web/BO FUSE/TC/TC_Users,Firefox 61.0,,2018-09-07 11:51:26,2018-09-07 11:51:36,"9,623s",PASSED
Start listener action : sampleBeforeTestCase,Firefox 61.0,,2018-09-07 11:51:26,2018-09-07 11:51:26,"0,003s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 11:51:27,2018-09-07 11:51:33,"6,290s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 11:51:33,2018-09-07 11:51:34,"1,079s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 11:51:34,2018-09-07 11:51:35,"0,635s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 11:51:35,2018-09-07 11:51:36,"0,998s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 11:51:36,2018-09-07 11:51:36,"0,142s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 11:51:36,2018-09-07 11:51:36,"0,314s",PASSED
Start listener action : sampleAfterTestCase,Firefox 61.0,,2018-09-07 11:51:36,2018-09-07 11:51:36,"0,002s",PASSED
,,,,,,
Test Cases/Web/FUSE/TC/TC_Navigation,Firefox 61.0,,2018-09-07 11:51:36,2018-09-07 11:51:45,"8,756s",PASSED
Start listener action : sampleBeforeTestCase,Firefox 61.0,,2018-09-07 11:51:36,2018-09-07 11:51:36,"0,001s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 11:51:36,2018-09-07 11:51:42,"5,963s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 11:51:42,2018-09-07 11:51:43,"0,644s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 11:51:43,2018-09-07 11:51:43,"0,212s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 11:51:43,2018-09-07 11:51:43,"0,233s",PASSED
back,Firefox 61.0,,2018-09-07 11:51:43,2018-09-07 11:51:43,"0,021s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 11:51:43,2018-09-07 11:51:44,"0,388s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 11:51:44,2018-09-07 11:51:44,"0,398s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 11:51:44,2018-09-07 11:51:44,"0,427s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 11:51:44,2018-09-07 11:51:45,"0,383s",PASSED
Start listener action : sampleAfterTestCase,Firefox 61.0,,2018-09-07 11:51:45,2018-09-07 11:51:45,"0,003s",PASSED
,,,,,,
Test Cases/Web/FUSE/TC/TC_NewOwner,Firefox 61.0,,2018-09-07 11:51:45,2018-09-07 11:52:23,"38,441s",FAILED
Start listener action : sampleBeforeTestCase,Firefox 61.0,,2018-09-07 11:51:45,2018-09-07 11:51:45,"0,001s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 11:51:45,2018-09-07 11:51:50,"5,313s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 11:51:50,2018-09-07 11:51:51,"0,701s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 11:51:51,2018-09-07 11:52:23,"32,322s",FAILED
Start listener action : sampleAfterTestCase,Firefox 61.0,,2018-09-07 11:52:23,2018-09-07 11:52:23,"0,002s",PASSED
