Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VETXML_REST,,,2018-09-12 10:39:16,2018-09-12 10:39:18,"2,592s",PASSED
,,,,,,
Test Cases/VETXML_Rest/TC/ServiciosRest,,,2018-09-12 10:39:16,2018-09-12 10:39:18,"2,220s",PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(VETXML_REST/Prueba_ServicioRest)),,,2018-09-12 10:39:16,2018-09-12 10:39:18,"1,819s",PASSED
verifyResponseStatusCode,,,2018-09-12 10:39:18,2018-09-12 10:39:18,"0,040s",PASSED
verifyElementPropertyValue,,,2018-09-12 10:39:18,2018-09-12 10:39:18,"0,004s",NOT_RUN
