Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Web_FUSE,Firefox 61.0,,2018-09-19 10:49:27,2018-09-19 10:49:40,"12,625s",FAILED
,,,,,,
Test Cases/Web/FUSE/TC/TC_NewOwner,Firefox 61.0,,2018-09-19 10:49:28,2018-09-19 10:49:34,"6,550s",FAILED
Start listener action : sampleBeforeTestCase,Firefox 61.0,,2018-09-19 10:49:28,2018-09-19 10:49:28,"0,008s",PASSED
callTestCase,Firefox 61.0,,2018-09-19 10:49:28,2018-09-19 10:49:32,"4,207s",FAILED
Start listener action : sampleAfterTestCase,Firefox 61.0,,2018-09-19 10:49:32,2018-09-19 10:49:32,"0,033s",PASSED
,,,,,,
Test Cases/Web/FUSE/TC/TC_NewTest,Firefox 61.0,,2018-09-19 10:49:34,2018-09-19 10:49:40,"5,562s",FAILED
Start listener action : sampleBeforeTestCase,Firefox 61.0,,2018-09-19 10:49:34,2018-09-19 10:49:34,"0,011s",PASSED
callTestCase,Firefox 61.0,,2018-09-19 10:49:35,2018-09-19 10:49:38,"3,148s",FAILED
Start listener action : sampleAfterTestCase,Firefox 61.0,,2018-09-19 10:49:38,2018-09-19 10:49:38,"0,091s",PASSED
