Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Web_BO,Chrome 69.0.3497.100,,2018-09-21 10:52:21,2018-09-21 10:52:53,"32,294s",PASSED
,,,,,,
Test Cases/Web/BO VUE/TC/1.FUSE BO - Alta de veterinaria,Chrome 69.0.3497.100,,2018-09-21 10:52:21,2018-09-21 10:52:36,"15,189s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 69.0.3497.100,,2018-09-21 10:52:21,2018-09-21 10:52:21,"0,014s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-21 10:52:21,2018-09-21 10:52:30,"9,052s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-21 10:52:30,2018-09-21 10:52:32,"1,685s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-21 10:52:32,2018-09-21 10:52:33,"1,067s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-21 10:52:33,2018-09-21 10:52:34,"0,968s",PASSED
Start listener action : sampleAfterTestCase,Chrome 69.0.3497.100,,2018-09-21 10:52:34,2018-09-21 10:52:34,"0,016s",PASSED
,,,,,,
Test Cases/Web/BO VUE/TC/2.FUSE BO - Crear usuario de veterinaria,Chrome 69.0.3497.100,,2018-09-21 10:52:36,2018-09-21 10:52:53,"16,639s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 69.0.3497.100,,2018-09-21 10:52:36,2018-09-21 10:52:36,"0,015s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-21 10:52:36,2018-09-21 10:52:42,"6,056s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-21 10:52:42,2018-09-21 10:52:43,"0,977s",PASSED
callTestCase,Chrome 69.0.3497.100,"Queda pendiente de definición 
",2018-09-21 10:52:43,2018-09-21 10:52:44,"0,654s",PASSED
callTestCase,Chrome 69.0.3497.100,"Queda pendiente de definición 
",2018-09-21 10:52:44,2018-09-21 10:52:46,"2,359s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-21 10:52:46,2018-09-21 10:52:47,"0,743s",PASSED
callTestCase,Chrome 69.0.3497.100,"
",2018-09-21 10:52:47,2018-09-21 10:52:49,"1,985s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-21 10:52:49,2018-09-21 10:52:50,"0,777s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-21 10:52:50,2018-09-21 10:52:51,"0,812s",PASSED
Start listener action : sampleAfterTestCase,Chrome 69.0.3497.100,,2018-09-21 10:52:51,2018-09-21 10:52:51,"0,012s",PASSED
