Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Mobile,,,2018-09-18 09:59:28,2018-09-18 10:11:18,"11m - 49,304s",FAILED
,,,,,,
Test Cases/Android/TC/TC_LoginApp,,,2018-09-18 09:59:29,2018-09-18 10:00:55,"1m - 26,603s",PASSED
Start listener action : sampleBeforeTestCase,,,2018-09-18 09:59:29,2018-09-18 09:59:29,"0,017s",PASSED
callTestCase,,,2018-09-18 09:59:29,2018-09-18 10:00:26,"56,633s",PASSED
callTestCase,,,2018-09-18 10:00:26,2018-09-18 10:00:50,"23,869s",PASSED
callTestCase,,,2018-09-18 10:00:50,2018-09-18 10:00:53,"3,697s",PASSED
Start listener action : sampleAfterTestCase,,,2018-09-18 10:00:53,2018-09-18 10:00:53,"0,023s",PASSED
,,,,,,
Test Cases/Android/TC/TC_Configuration,,,2018-09-18 10:00:55,2018-09-18 10:02:24,"1m - 28,612s",PASSED
Start listener action : sampleBeforeTestCase,,,2018-09-18 10:00:55,2018-09-18 10:00:55,"0,020s",PASSED
callTestCase,,,2018-09-18 10:00:56,2018-09-18 10:02:06,"1m - 10,430s",PASSED
callTestCase,,,2018-09-18 10:02:06,2018-09-18 10:02:17,"10,725s",PASSED
callTestCase,,,2018-09-18 10:02:17,2018-09-18 10:02:17,"0,537s",PASSED
callTestCase,,,2018-09-18 10:02:17,2018-09-18 10:02:22,"4,435s",PASSED
Start listener action : sampleAfterTestCase,,,2018-09-18 10:02:22,2018-09-18 10:02:22,"0,090s",PASSED
,,,,,,
Test Cases/Android/TC/TC_Historico,,,2018-09-18 10:02:24,2018-09-18 10:03:57,"1m - 33,107s",PASSED
Start listener action : sampleBeforeTestCase,,,2018-09-18 10:02:24,2018-09-18 10:02:24,"0,019s",PASSED
callTestCase,,,2018-09-18 10:02:24,2018-09-18 10:03:39,"1m - 14,468s",PASSED
callTestCase,,,2018-09-18 10:03:39,2018-09-18 10:03:50,"11,137s",PASSED
callTestCase,,,2018-09-18 10:03:50,2018-09-18 10:03:50,"0,467s",PASSED
callTestCase,,,2018-09-18 10:03:50,2018-09-18 10:03:55,"4,740s",PASSED
Start listener action : sampleAfterTestCase,,,2018-09-18 10:03:55,2018-09-18 10:03:55,"0,018s",PASSED
,,,,,,
Test Cases/Android/TC/TC_Users,,,2018-09-18 10:03:57,2018-09-18 10:05:29,"1m - 32,315s",PASSED
Start listener action : sampleBeforeTestCase,,,2018-09-18 10:03:57,2018-09-18 10:03:57,"0,013s",PASSED
callTestCase,,,2018-09-18 10:03:57,2018-09-18 10:05:11,"1m - 14,242s",PASSED
callTestCase,,,2018-09-18 10:05:11,2018-09-18 10:05:22,"10,619s",PASSED
callTestCase,,,2018-09-18 10:05:22,2018-09-18 10:05:23,"0,508s",PASSED
callTestCase,,,2018-09-18 10:05:23,2018-09-18 10:05:27,"4,708s",PASSED
Start listener action : sampleAfterTestCase,,,2018-09-18 10:05:27,2018-09-18 10:05:27,"0,031s",PASSED
,,,,,,
Test Cases/Android/TC/TC_VUE,,,2018-09-18 10:05:29,2018-09-18 10:07:04,"1m - 34,226s",PASSED
Start listener action : sampleBeforeTestCase,,,2018-09-18 10:05:29,2018-09-18 10:05:29,"0,000s",PASSED
callTestCase,,,2018-09-18 10:05:30,2018-09-18 10:06:45,"1m - 15,655s",PASSED
callTestCase,,,2018-09-18 10:06:45,2018-09-18 10:06:56,"11,060s",PASSED
callTestCase,,,2018-09-18 10:06:56,2018-09-18 10:06:57,"0,516s",PASSED
callTestCase,,,2018-09-18 10:06:57,2018-09-18 10:07:02,"4,754s",PASSED
Start listener action : sampleAfterTestCase,,,2018-09-18 10:07:02,2018-09-18 10:07:02,"0,016s",PASSED
,,,,,,
Test Cases/Android/TC/TC_FUSEConfig,,,2018-09-18 10:07:04,2018-09-18 10:08:51,"1m - 47,801s",PASSED
Start listener action : sampleBeforeTestCase,,,2018-09-18 10:07:04,2018-09-18 10:07:04,"0,000s",PASSED
callTestCase,,,2018-09-18 10:07:04,2018-09-18 10:08:19,"1m - 14,762s",PASSED
callTestCase,,,2018-09-18 10:08:19,2018-09-18 10:08:29,"10,786s",PASSED
callTestCase,,,2018-09-18 10:08:29,2018-09-18 10:08:30,"0,403s",PASSED
callTestCase,,,2018-09-18 10:08:30,2018-09-18 10:08:44,"14,705s",PASSED
callTestCase,,,2018-09-18 10:08:44,2018-09-18 10:08:49,"4,946s",PASSED
Start listener action : sampleAfterTestCase,,,2018-09-18 10:08:49,2018-09-18 10:08:49,"0,019s",PASSED
,,,,,,
Test Cases/Android/TC/TC_VUEConfig,,,2018-09-18 10:08:51,2018-09-18 10:11:13,"2m - 21,292s",FAILED
Start listener action : sampleBeforeTestCase,,,2018-09-18 10:08:51,2018-09-18 10:08:51,"0,038s",PASSED
callTestCase,,,2018-09-18 10:08:52,2018-09-18 10:10:06,"1m - 14,251s",PASSED
callTestCase,,,2018-09-18 10:10:06,2018-09-18 10:10:16,"10,520s",PASSED
callTestCase,,,2018-09-18 10:10:16,2018-09-18 10:10:17,"0,485s",PASSED
callTestCase,,,2018-09-18 10:10:17,2018-09-18 10:10:31,"14,221s",PASSED
callTestCase,,,2018-09-18 10:10:31,2018-09-18 10:11:11,"39,570s",FAILED
Start listener action : sampleAfterTestCase,,,2018-09-18 10:11:11,2018-09-18 10:11:11,"0,015s",PASSED
