Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Mobile,,,2018-09-19 09:15:32,2018-09-19 09:17:41,"2m - 8,859s",FAILED
,,,,,,
Test Cases/Android/TC/TC_VUE_NewAnalisys,,,2018-09-19 09:15:32,2018-09-19 09:17:38,"2m - 5,196s",FAILED
Start listener action : sampleBeforeTestCase,,,2018-09-19 09:15:32,2018-09-19 09:15:32,"0,013s",PASSED
callTestCase,,,2018-09-19 09:15:33,2018-09-19 09:16:31,"57,900s",PASSED
callTestCase,,,2018-09-19 09:16:31,2018-09-19 09:16:42,"10,992s",PASSED
callTestCase,,,2018-09-19 09:16:42,2018-09-19 09:16:42,"0,552s",PASSED
callTestCase,,,2018-09-19 09:16:42,2018-09-19 09:16:56,"13,923s",PASSED
callTestCase,,,2018-09-19 09:16:56,2018-09-19 09:17:35,"39,299s",FAILED
Start listener action : sampleAfterTestCase,,,2018-09-19 09:17:35,2018-09-19 09:17:36,"0,096s",PASSED
