Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Web,Firefox 61.0,,2018-09-12 09:05:42,2018-09-12 09:06:16,"34,157s",FAILED
,,,,,,
Test Cases/Web/BO FUSE/TC/TC_Login,Firefox 61.0,,2018-09-12 09:05:43,2018-09-12 09:05:47,"4,825s",FAILED
callTestCase,Firefox 61.0,,2018-09-12 09:05:43,2018-09-12 09:05:47,"4,534s",FAILED
,,,,,,
Test Cases/Web/FUSE/TC/TC_LoginFUSE,Firefox 61.0,,2018-09-12 09:05:47,2018-09-12 09:06:04,"16,899s",FAILED
callTestCase,Firefox 61.0,,2018-09-12 09:05:48,2018-09-12 09:06:04,"16,698s",FAILED
,,,,,,
Test Cases/Web/BO FUSE/TC/TC_Users,Firefox 61.0,,2018-09-12 09:06:04,2018-09-12 09:06:09,"4,427s",FAILED
callTestCase,Firefox 61.0,,2018-09-12 09:06:04,2018-09-12 09:06:09,"4,272s",FAILED
,,,,,,
Test Cases/Web/FUSE/TC/TC_Navigation,Firefox 61.0,,2018-09-12 09:06:09,2018-09-12 09:06:16,"7,346s",FAILED
callTestCase,Firefox 61.0,,2018-09-12 09:06:09,2018-09-12 09:06:16,"6,726s",PASSED
callTestCase,Firefox 61.0,,2018-09-12 09:06:16,2018-09-12 09:06:16,"0,445s",FAILED
,,,,,,
Test Cases/Web/FUSE/TC/TC_NewOwner,Firefox 61.0,,2018-09-12 09:06:16,2018-09-12 09:06:16,"0,302s",FAILED
callTestCase,Firefox 61.0,,2018-09-12 09:06:16,2018-09-12 09:06:16,"0,114s",FAILED
