Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_VETXML_REST,,,2018-09-19 10:56:08,2018-09-19 10:56:13,"4,590s",PASSED
,,,,,,
Test Cases/VETXML_Rest/TC/TC_ServiciosRest,,,2018-09-19 10:56:09,2018-09-19 10:56:13,"4,142s",PASSED
Start listener action : sampleBeforeTestCase,,,2018-09-19 10:56:09,2018-09-19 10:56:09,"0,016s",PASSED
callTestCase,,,2018-09-19 10:56:09,2018-09-19 10:56:10,"1,029s",PASSED
callTestCase,,,2018-09-19 10:56:10,2018-09-19 10:56:11,"0,629s",PASSED
Start listener action : sampleAfterTestCase,,,2018-09-19 10:56:11,2018-09-19 10:56:11,"0,025s",PASSED
