Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Web,Chrome 68.0.3440.106,,2018-09-17 09:25:26,2018-09-17 09:26:44,"1m - 18,112s",FAILED
,,,,,,
Test Cases/Web/BO FUSE/TC/TC_Login,Chrome 68.0.3440.106,,2018-09-17 09:25:27,2018-09-17 09:25:38,"10,745s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 68.0.3440.106,,2018-09-17 09:25:27,2018-09-17 09:25:27,"0,013s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-17 09:25:27,2018-09-17 09:25:33,"5,643s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-17 09:25:33,2018-09-17 09:25:34,"1,712s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-17 09:25:34,2018-09-17 09:25:35,"1,057s",PASSED
Start listener action : sampleAfterTestCase,Chrome 68.0.3440.106,,2018-09-17 09:25:35,2018-09-17 09:25:36,"0,022s",PASSED
,,,,,,
Test Cases/Web/FUSE/TC/TC_LoginFUSE,Chrome 68.0.3440.106,,2018-09-17 09:25:38,2018-09-17 09:25:47,"9,866s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 68.0.3440.106,,2018-09-17 09:25:38,2018-09-17 09:25:38,"0,016s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-17 09:25:38,2018-09-17 09:25:44,"5,744s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-17 09:25:44,2018-09-17 09:25:44,"0,753s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-17 09:25:44,2018-09-17 09:25:45,"0,912s",PASSED
Start listener action : sampleAfterTestCase,Chrome 68.0.3440.106,,2018-09-17 09:25:45,2018-09-17 09:25:45,"0,047s",PASSED
,,,,,,
Test Cases/Web/BO FUSE/TC/TC_Users,Chrome 68.0.3440.106,,2018-09-17 09:25:47,2018-09-17 09:25:57,"9,445s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 68.0.3440.106,,2018-09-17 09:25:47,2018-09-17 09:25:47,"0,016s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-17 09:25:48,2018-09-17 09:25:51,"3,165s",PASSED
