Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Mobile,,,2018-09-19 12:22:37,2018-09-19 12:25:24,"2m - 46,242s",PASSED
,,,,,,
Test Cases/Android/TC/TC_VUE_NewAnalisys,,,2018-09-19 12:22:38,2018-09-19 12:25:24,"2m - 45,904s",PASSED
Start listener action : sampleBeforeTestCase,,,2018-09-19 12:22:38,2018-09-19 12:22:38,"0,013s",PASSED
callTestCase,,,2018-09-19 12:22:38,2018-09-19 12:23:40,"1m - 2,136s",PASSED
callTestCase,,,2018-09-19 12:23:40,2018-09-19 12:23:51,"10,934s",PASSED
callTestCase,,,2018-09-19 12:23:51,2018-09-19 12:23:52,"0,621s",PASSED
callTestCase,,,2018-09-19 12:23:52,2018-09-19 12:24:06,"13,854s",PASSED
callTestCase,,,2018-09-19 12:24:06,2018-09-19 12:25:17,"1m - 11,778s",PASSED
callTestCase,,,2018-09-19 12:25:17,2018-09-19 12:25:22,"4,215s",PASSED
Start listener action : sampleAfterTestCase,,,2018-09-19 12:25:22,2018-09-19 12:25:22,"0,013s",PASSED
