Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Web,Firefox 61.0,,2018-09-07 10:03:29,2018-09-07 10:04:46,"1m - 16,697s",FAILED
,,,,,,
Test Cases/Web/BO FUSE/TC/TC_Login,Firefox 61.0,,2018-09-07 10:03:30,2018-09-07 10:03:39,"8,945s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 10:03:30,2018-09-07 10:03:37,"6,700s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 10:03:37,2018-09-07 10:03:38,"1,567s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 10:03:38,2018-09-07 10:03:39,"0,378s",PASSED
,,,,,,
Test Cases/Web/FUSE/TC/TC_LoginFUSE,Firefox 61.0,,2018-09-07 10:03:39,2018-09-07 10:03:48,"9,126s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 10:03:39,2018-09-07 10:03:47,"7,838s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 10:03:47,2018-09-07 10:03:47,"0,736s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 10:03:47,2018-09-07 10:03:48,"0,406s",PASSED
,,,,,,
Test Cases/Web/BO FUSE/TC/TC_Users,Firefox 61.0,,2018-09-07 10:03:48,2018-09-07 10:03:56,"8,292s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 10:03:48,2018-09-07 10:03:53,"5,380s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 10:03:53,2018-09-07 10:03:54,"1,034s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 10:03:54,2018-09-07 10:03:55,"0,365s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 10:03:55,2018-09-07 10:03:56,"0,887s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 10:03:56,2018-09-07 10:03:56,"0,176s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 10:03:56,2018-09-07 10:03:56,"0,291s",PASSED
,,,,,,
Test Cases/Web/FUSE/TC/TC_Navigation,Firefox 61.0,,2018-09-07 10:03:56,2018-09-07 10:04:07,"10,399s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 10:03:56,2018-09-07 10:04:04,"7,403s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 10:04:04,2018-09-07 10:04:04,"0,660s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 10:04:04,2018-09-07 10:04:05,"0,353s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 10:04:05,2018-09-07 10:04:05,"0,216s",PASSED
back,Firefox 61.0,,2018-09-07 10:04:05,2018-09-07 10:04:05,"0,024s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 10:04:05,2018-09-07 10:04:05,"0,364s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 10:04:05,2018-09-07 10:04:06,"0,304s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 10:04:06,2018-09-07 10:04:06,"0,585s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 10:04:06,2018-09-07 10:04:07,"0,306s",PASSED
,,,,,,
Test Cases/Web/FUSE/TC/TC_NewOwner,Firefox 61.0,,2018-09-07 10:04:07,2018-09-07 10:04:46,"39,381s",FAILED
callTestCase,Firefox 61.0,,2018-09-07 10:04:07,2018-09-07 10:04:13,"6,287s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 10:04:13,2018-09-07 10:04:14,"0,720s",PASSED
callTestCase,Firefox 61.0,,2018-09-07 10:04:14,2018-09-07 10:04:46,"32,253s",FAILED
