Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Web,Firefox 61.0,,2018-09-13 09:43:54,2018-09-13 09:45:10,"1m - 15,656s",PASSED
,,,,,,
Test Cases/Web/BO FUSE/TC/TC_Login,Firefox 61.0,,2018-09-13 09:43:54,2018-09-13 09:44:11,"16,483s",PASSED
callTestCase,Firefox 61.0,,2018-09-13 09:43:55,2018-09-13 09:44:06,"10,959s",PASSED
callTestCase,Firefox 61.0,,2018-09-13 09:44:06,2018-09-13 09:44:08,"2,589s",PASSED
callTestCase,Firefox 61.0,,2018-09-13 09:44:08,2018-09-13 09:44:09,"0,405s",PASSED
,,,,,,
Test Cases/Web/FUSE/TC/TC_LoginFUSE,Firefox 61.0,,2018-09-13 09:44:11,2018-09-13 09:44:23,"12,460s",PASSED
callTestCase,Firefox 61.0,,2018-09-13 09:44:11,2018-09-13 09:44:20,"8,884s",PASSED
callTestCase,Firefox 61.0,,2018-09-13 09:44:20,2018-09-13 09:44:21,"0,927s",PASSED
callTestCase,Firefox 61.0,,2018-09-13 09:44:21,2018-09-13 09:44:21,"0,437s",PASSED
,,,,,,
Test Cases/Web/BO FUSE/TC/TC_Users,Firefox 61.0,,2018-09-13 09:44:23,2018-09-13 09:44:37,"13,929s",PASSED
callTestCase,Firefox 61.0,,2018-09-13 09:44:23,2018-09-13 09:44:31,"7,956s",PASSED
callTestCase,Firefox 61.0,,2018-09-13 09:44:31,2018-09-13 09:44:32,"1,165s",PASSED
callTestCase,Firefox 61.0,,2018-09-13 09:44:32,2018-09-13 09:44:33,"0,671s",PASSED
callTestCase,Firefox 61.0,,2018-09-13 09:44:33,2018-09-13 09:44:35,"1,344s",PASSED
callTestCase,Firefox 61.0,,2018-09-13 09:44:35,2018-09-13 09:44:35,"0,254s",PASSED
callTestCase,Firefox 61.0,,2018-09-13 09:44:35,2018-09-13 09:44:35,"0,355s",PASSED
,,,,,,
Test Cases/Web/FUSE/TC/TC_Navigation,Firefox 61.0,,2018-09-13 09:44:37,2018-09-13 09:44:51,"13,480s",PASSED
callTestCase,Firefox 61.0,,2018-09-13 09:44:37,2018-09-13 09:44:45,"7,353s",PASSED
callTestCase,Firefox 61.0,,2018-09-13 09:44:45,2018-09-13 09:44:45,"0,746s",PASSED
callTestCase,Firefox 61.0,,2018-09-13 09:44:45,2018-09-13 09:44:46,"0,799s",PASSED
callTestCase,Firefox 61.0,,2018-09-13 09:44:46,2018-09-13 09:44:47,"0,325s",PASSED
back,Firefox 61.0,,2018-09-13 09:44:47,2018-09-13 09:44:47,"0,112s",PASSED
callTestCase,Firefox 61.0,,2018-09-13 09:44:47,2018-09-13 09:44:47,"0,542s",PASSED
callTestCase,Firefox 61.0,,2018-09-13 09:44:47,2018-09-13 09:44:48,"0,635s",PASSED
callTestCase,Firefox 61.0,,2018-09-13 09:44:48,2018-09-13 09:44:48,"0,449s",PASSED
callTestCase,Firefox 61.0,,2018-09-13 09:44:48,2018-09-13 09:44:49,"0,367s",PASSED
,,,,,,
Test Cases/Web/FUSE/TC/TC_NewOwner,Firefox 61.0,,2018-09-13 09:44:51,2018-09-13 09:45:10,"18,951s",PASSED
callTestCase,Firefox 61.0,,2018-09-13 09:44:51,2018-09-13 09:45:01,"10,617s",PASSED
callTestCase,Firefox 61.0,,2018-09-13 09:45:01,2018-09-13 09:45:02,"0,772s",PASSED
callTestCase,Firefox 61.0,,2018-09-13 09:45:02,2018-09-13 09:45:07,"5,029s",PASSED
callTestCase,Firefox 61.0,,2018-09-13 09:45:07,2018-09-13 09:45:08,"0,400s",PASSED
